N1,N2,T_split,mig,Fst,dxy,segsites1,segsites2,pi1,pi2,tajima1,tajima2
150000,5000,6958,0,0.3450848427721859,0.10179991999999832,0.4112,0.0251,0.098127755102038,0.0010039999999999962,0.25252603417105607,-2.9725481399698417
150000,5000,6381,0,0.35331545803009534,0.10310799999999835,0.4069,0.0003,0.09846424489795676,7.648979591836735e-05,0.30749496497150347,0.2934973522972681
150000,5000,6702,0,0.10072487633548888,0.09438327999999853,0.4019,0.1689,0.09403918367346688,0.060180163265306987,0.17617542123214125,2.1816374776497445
150000,5000,7578,0,0.23256335515742343,0.09642631999999805,0.394,0.0999,0.09628097959183438,0.023795755102040572,0.34658049224801774,0.24467742879363133
150000,5000,8077,0,0.0726188454965444,0.10442847999999867,0.4271,0.2132,0.10290702040816059,0.07766971428571404,0.2903893832499089,2.3136941561514885
150000,5000,6040,0,0.1732846109866094,0.10712607999999825,0.4309,0.2089,0.10246824489795649,0.048497306122449596,0.23879480251281052,0.1460129825290894
150000,5000,9104,0,0.35679532035863193,0.10535199999999872,0.3966,0.0002,0.09985363265305881,3.306122448979592e-05,0.46815315435633925,-0.4630752243764247
150000,5000,11909,0,0.18351643896405512,0.09970503999999876,0.3834,0.1527,0.0950782857142834,0.04249061224489867,0.40597948390419,0.9017758748011528
150000,5000,10263,0,0.19554699319560442,0.09586207999999889,0.3935,0.1107,0.09577142857142668,0.033234857142857295,0.3304213219585714,1.260812287710909
150000,5000,8992,0,0.11269120191035042,0.09827143999999899,0.3884,0.1676,0.09391297959183476,0.06281893877551058,0.304334115091436,2.4850761301531974
150000,5000,7156,0,0.11974850381958435,0.10330871999999858,0.4233,0.1415,0.10191338775509944,0.06051175510204059,0.2873607556949348,3.350125880093447
150000,5000,10317,0,0.15702380157474138,0.10258135999999872,0.4038,0.1748,0.0996435102040793,0.04983248979591858,0.3859266077474533,1.0138633673367756
150000,5000,5366,0,0.11341109427049156,0.10023095999999815,0.4142,0.1383,0.09916489795918079,0.06045926530612254,0.26525826298722754,3.5059057884721354
150000,5000,8304,0,0.15871767387581315,0.09940967999999815,0.4008,0.1704,0.09588228571428348,0.048469714285714484,0.2622011392769679,1.0033831868172047
150000,5000,13110,0,0.3254247562666208,0.09069247999999883,0.3347,0.1074,0.08799934693877377,0.004316571428571355,0.6510126356674892,-2.9983725503374705
150000,5000,7748,0,0.14500909315324928,0.10379295999999856,0.42,0.1693,0.09963575510203806,0.05537093877550997,0.22939174947672417,1.7020654643156556
