N1,N2,T_split,mig,Fst,dxy,segsites1,segsites2,pi1,pi2,tajima1,tajima2
75000.0,150000.0,306,0,0.0005099454745690624,0.007058784696559056,0.04036666666666667,0.04873333333333333,0.007055227193376304,0.007047951157140988,-0.027235550429063025,-0.15983583273593974
75000.0,150000.0,290,0,0.0003979793121440256,0.006946451301634235,0.03952666666666667,0.04803333333333333,0.006946758940595605,0.006935089886203759,-0.009175719415189697,-0.16474489970301837
75000.0,150000.0,237,0,0.0011263632416421698,0.007227411718814117,0.040626666666666665,0.04766666666666667,0.007200245398773048,0.007222051911520263,0.01839197068026586,-0.020059948996305716
75000.0,150000.0,219,0,0.0007129531213373452,0.006945531945470948,0.039913333333333335,0.04688,0.00694804429148595,0.006923226356390884,-0.04027128798762738,-0.09780670284051649
75000.0,150000.0,262,0,0.0005574918702891951,0.006798717869754418,0.03906,0.04697333333333333,0.0067856960446906,0.006796587222435292,-0.04684820676758646,-0.15846134184706576
75000.0,150000.0,203,0,0.0006045113484446363,0.006800282089184529,0.03861333333333333,0.04562666666666667,0.006759316674148421,0.00682481404764948,-0.022156014078629264,-0.059259864260634114
75000.0,150000.0,283,0,0.000695845725733224,0.006871223310339151,0.03952,0.047433333333333334,0.006866130480323307,0.006857204193837059,-0.046603222131658864,-0.1610036066477601
75000.0,150000.0,324,0,0.0009293528310517774,0.006684446702800345,0.038786666666666664,0.046713333333333336,0.006638823382712443,0.006705244256915087,-0.09454829038106678,-0.181795209013643
75000.0,150000.0,363,0,0.0008312994816853658,0.007248465857764633,0.040593333333333335,0.04978,0.00722547558481731,0.007247373566892479,0.03267165743240308,-0.14025254042513322
75000.0,150000.0,324,0,0.0005051710685398669,0.007096986326681398,0.04056,0.048753333333333336,0.00709405706020259,0.007085582065379498,-0.024922720691681024,-0.14537830812132768
75000.0,150000.0,203,0,0.00043109677511576905,0.006904930298924191,0.03986,0.047433333333333334,0.006891002044989884,0.0069069569108809094,-0.06257556722562972,-0.1397215441925994
