N1,N2,T_split,mig,Fst,dxy,segsites1,segsites2,pi1,pi2,tajima1,tajima2
150000,5000,10940,0,0.2917926761161589,0.10169959999999878,0.3899,0.0379,0.09908163265305951,0.01242914285714277,0.5066627244679623,1.7054316828077039
150000,5000,7655,0,0.12298321781270116,0.10015695999999816,0.4031,0.1548,0.09843893877550748,0.05800032653061186,0.3439078275393848,2.482459859991877
150000,5000,7995,0,0.14813319088805654,0.0998785599999988,0.3996,0.0985,0.09805665306122224,0.0501547755102046,0.3633120335272776,4.682002743280324
150000,5000,5428,0,0.07797448733884549,0.09551775999999867,0.4038,0.173,0.0963614693877525,0.06703722448979643,0.2525074518002233,2.693207040399497
150000,5000,7613,0,0.16635433716972758,0.10143263999999934,0.3933,0.1062,0.09912326530612027,0.045873632653061165,0.4723438721775325,3.4181956066436103
150000,5000,6135,0,0.12452345550002453,0.09627999999999794,0.4118,0.1803,0.09676808163265053,0.05314587755102076,0.1926192246116311,1.172672054095933
150000,5000,8002,0,0.2051383079205551,0.10060111999999838,0.3994,0.0781,0.0994451428571403,0.033259918367346736,0.42239410668156285,3.314821059939967
150000,5000,4990,0,0.07541049584339032,0.10119375999999837,0.4221,0.211,0.09868840816326248,0.0753152653061227,0.1731758384864781,2.192929937681983
150000,5000,9307,0,0.16179232181868586,0.1008928799999977,0.3994,0.1046,0.0982777959183646,0.04730620408163235,0.3744176027499026,3.7505542883668697
150000,5000,6217,0,0.10364166078874104,0.10244943999999848,0.4277,0.1648,0.10091714285713972,0.06549812244897946,0.20846678563669752,2.8559617942733997
150000,5000,10348,0,0.09106394631489423,0.10348151999999887,0.3881,0.1544,0.10269959183673275,0.0697157551020415,0.6790263796552611,3.7422798778504247
150000,5000,8898,0,0.19705988698624266,0.09647183999999884,0.4027,0.145,0.09394955102040542,0.03546938775510199,0.1648918245458626,0.3501682894904704
150000,5000,11273,0,0.22825701255016395,0.100869039999999,0.3819,0.0879,0.09698473469387597,0.029772081632653102,0.5039060904816224,1.8897025367412155
150000,5000,9922,0,0.24508003947922563,0.10499215999999865,0.3887,0.129,0.09726914285714083,0.030049061224488895,0.44299905907832765,0.15870268451236103
150000,5000,10023,0,0.17966314976100706,0.10535383999999802,0.4138,0.1029,0.10299355102040536,0.04353240816326591,0.4209383789887281,3.2721168095117976
150000,5000,8791,0,0.12322226569084294,0.1000663999999982,0.3946,0.1344,0.0982672653061197,0.057954693877550575,0.4231078190362954,3.4081603196070804
150000,5000,8517,0,0.2942778283176959,0.10123751999999826,0.3977,0.1034,0.09850342857142592,0.011898775510203928,0.40099450983827184,-1.7716507819528549
150000,5000,10479,0,0.13957379550934135,0.10265111999999815,0.3775,0.1388,0.09659983673469175,0.058412000000000054,0.5357507985605862,3.23837526179954
150000,5000,11170,0,0.20870648550089665,0.09489503999999874,0.3648,0.0903,0.09184930612244695,0.03239893877550976,0.46821413344895363,2.2187242411770605
